1,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
$WIMWV,61,R,0,N,A*14
